unifact_id,uni_name,country_name,year,teaching,research,citations,industry_income,international_outlook
352,University of Marburg,Germany,2018,35.7,27.7,75,36.6,49.9
353,University of Munster,Germany,2018,40.3,42.1,81.2,60.8,47.7
354,University of Paderborn,Germany,2018,,,,,
355,University of Passau,Germany,2018,30.2,23.6,92.7,40.8,49
356,University of Potsdam,Germany,2018,35.6,41.4,74.3,42.2,55
357,University of Siegen,Germany,2018,24.8,25.2,61.2,39.6,52.4
358,University of Stuttgart,Germany,2018,41.1,48.8,60,68.8,52.6
359,University of Tubingen,Germany,2018,45.7,55.4,83,55.4,60.8
360,University of Wurzburg,Germany,2018,35.8,42.8,86.5,46.1,53.7
361,Delft University of Technology,Netherlands,2011,55.5,67.7,29,99.4,47.4
362,Eindhoven University of Technology,Netherlands,2011,55.4,51.7,56.9,99.8,44.9
363,Erasmus University Rotterdam,Netherlands,2011,39.4,43.6,65.5,,58.6
364,Leiden University,Netherlands,2011,47.3,54.9,59.3,100,40
365,Maastricht University,Netherlands,2011,,,,,
366,Radboud University Nijmegen,Netherlands,2011,,,,,
367,Tilburg University,Netherlands,2011,,,,,
368,University of Amsterdam,Netherlands,2011,42.5,49.2,60.2,38.8,38.2
369,University of Groningen,Netherlands,2011,41.7,56.4,54.1,34.2,35.5
370,University of Twente,Netherlands,2011,49.9,48.3,42,49.8,62.4
371,Utrecht University,Netherlands,2011,43.4,53,58.8,55.3,52.6
372,Vrije Universiteit Amsterdam,Netherlands,2011,47.6,51.6,58.5,81.4,30.6
373,Wageningen University & Research,Netherlands,2011,58.5,48.8,53,,24.3
374,Delft University of Technology,Netherlands,2012,53.5,66.1,31.2,100,71.3
375,Eindhoven University of Technology,Netherlands,2012,35.6,48,62.1,100,67.3
376,Erasmus University Rotterdam,Netherlands,2012,28.8,27.2,77.4,45,65
377,Leiden University,Netherlands,2012,45.4,55.3,71.7,48.6,54.4
378,Maastricht University,Netherlands,2012,30.6,30.5,53.9,,86.4
379,Radboud University Nijmegen,Netherlands,2012,27.7,43.8,65.5,33.1,52.3
380,Tilburg University,Netherlands,2012,22.6,49.4,23.6,36,69.1
381,University of Amsterdam,Netherlands,2012,41.7,54.7,68.3,42.5,56.4
382,University of Groningen,Netherlands,2012,32.4,52.4,62.4,59.9,47.3
383,University of Twente,Netherlands,2012,32.9,30.4,54.4,76.8,56.2
384,Utrecht University,Netherlands,2012,42.8,53.2,85.7,59.3,58.1
385,Vrije Universiteit Amsterdam,Netherlands,2012,30.4,35.3,70.2,63.2,48
386,Wageningen University & Research,Netherlands,2012,50.1,47.6,66.3,100,75.9
387,Delft University of Technology,Netherlands,2013,59.9,75.1,45.1,99.9,99.9
388,Eindhoven University of Technology,Netherlands,2013,44.1,51.8,63.8,100,100
389,Erasmus University Rotterdam,Netherlands,2013,44.5,64.1,80.2,62,62
390,Leiden University,Netherlands,2013,54,67.1,78.4,46.1,46.1
391,Maastricht University,Netherlands,2013,39.7,53.2,62.5,99.1,99.1
392,Radboud University Nijmegen,Netherlands,2013,35.7,54.3,73.3,41.7,41.7
393,Tilburg University,Netherlands,2013,38.2,54.5,33.7,54.8,57.8
394,University of Amsterdam,Netherlands,2013,45.6,61.3,75.1,49,49
395,University of Groningen,Netherlands,2013,43.5,61,71.6,85.2,85.2
396,University of Twente,Netherlands,2013,35.8,46.4,55.6,79.7,79.7
397,Utrecht University,Netherlands,2013,48,64.7,82.4,82.6,82.6
398,Vrije Universiteit Amsterdam,Netherlands,2013,40.5,45.1,74.2,58.5,58.5
399,Wageningen University & Research,Netherlands,2013,54.9,53.7,73.8,100,100
400,Delft University of Technology,Netherlands,2014,55.8,67.3,47.2,100,74.2
401,Eindhoven University of Technology,Netherlands,2014,37.3,47.9,63.6,100,68.7
402,Erasmus University Rotterdam,Netherlands,2014,37.8,53.3,81.2,56,66.6
403,Leiden University,Netherlands,2014,41.9,53.2,84.2,49.8,58.5
404,Maastricht University,Netherlands,2014,33.1,47.1,65.8,98.2,89.1
405,Radboud University Nijmegen,Netherlands,2014,29.7,46.1,73.1,42.5,58.6
406,Tilburg University,Netherlands,2014,32,45.7,39,55.5,57.6
407,University of Amsterdam,Netherlands,2014,38.3,54.1,75,50.2,58.3
408,University of Groningen,Netherlands,2014,36,48.6,71.1,87.6,53
409,University of Twente,Netherlands,2014,32.7,43.8,54.3,81.8,65.5
410,Utrecht University,Netherlands,2014,36.3,54.7,82,85.6,49.2
411,Vrije Universiteit Amsterdam,Netherlands,2014,33.1,38.8,47.1,59.8,49.2
412,Wageningen University & Research,Netherlands,2014,43.1,44.3,74.1,100,78.3
413,Delft University of Technology,Netherlands,2015,55.5,71.4,42.6,100,77.9
